"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","573.12859","573.12860","573.12862"
"malF","","Maltose/maltodextrin transport system permease protein MalF","3","3","1","8","84","","","","1544","1544","1544","573.12859_03895","573.12860_03187","573.12862_03214"
"group_3026","","hypothetical protein","3","3","1","13","47","","","","482","482","482","573.12859_04703","573.12860_04861","573.12862_04500"
"hisS","","Histidine--tRNA ligase","3","3","1","7","122","","","","1274","1274","1274","573.12859_03223","573.12860_02492","573.12862_02507"
"satP","","Succinate-acetate/proton symporter SatP","3","3","1","4","207","","","","566","566","566","573.12859_00775","573.12860_00984","573.12862_00580"
"ybaN","","Inner membrane protein YbaN","3","3","1","1","644","","","","377","377","377","573.12859_01069","573.12860_00678","573.12862_01107"
"group_3030","","Endoglucanase","3","3","1","3","170","","","","1001","1001","1001","573.12859_00166","573.12860_03866","573.12862_02241"
"group_3031","","hypothetical protein","3","3","1","1","195","","","","926","926","926","573.12859_03016","573.12860_04732","573.12862_02276"
"gutQ","","Arabinose 5-phosphate isomerase GutQ","3","3","1","2","17","","","","965","965","965","573.12859_03449","573.12860_04341","573.12862_02745"
"uidB","","Glucuronide carrier protein","3","3","1","6","2","","","","1454","1454","1454","573.12859_02553","573.12860_05107","573.12862_04968"
"sprT","","Protein SprT","3","3","1","2","705","","","","458","458","458","573.12859_01310","573.12860_01476","573.12862_00091"
"menA","","1,4-dihydroxy-2-naphthoate octaprenyltransferase","3","3","1","10","36","","","","920","920","920","573.12859_03765","573.12860_03683","573.12862_03594"
"asnC","","Regulatory protein AsnC","3","3","1","9","13","","","","458","458","458","573.12859_03879","573.12860_03539","573.12862_03550"
"lpdA","","Dihydrolipoyl dehydrogenase","3","3","1","4","97","","","","1424","1424","1424","573.12859_00873","573.12860_00875","573.12862_00471"
"mobB","","Molybdopterin-guanine dinucleotide biosynthesis adapter protein","3","3","1","10","65","","","","506","506","506","573.12859_03700","573.12860_03622","573.12862_03655"
"group_3039","","hypothetical protein","3","3","1","1","2173","","","","458","458","458","573.12859_02044","573.12860_01984","573.12862_01777"
"gspH","","Putative type II secretion system protein H","3","3","1","4","60","","","","515","515","515","573.12859_00909","573.12860_03743","573.12862_03777"
"rocC","","Amino-acid permease RocC","3","3","1","1","502","","","","1409","1409","1409","573.12859_01212","573.12860_00820","573.12862_00965"
"proX","","Glycine betaine/proline betaine-binding periplasmic protein","3","3","1","1","1031","","","","998","998","998","573.12859_04269","573.12860_04123","573.12862_03912"
"fic","","putative protein adenylyltransferase Fic","3","3","1","3","313","","","","602","602","602","573.12859_00023","573.12860_03344","573.12862_02099"
"asd_1","","Aspartate-semialdehyde dehydrogenase","3","3","1","3","260","","","","1106","1106","1106","573.12859_00074","573.12860_03397","573.12862_02152"
"aphA","","Class B acid phosphatase","3","3","1","8","104","","","","713","713","713","573.12859_03915","573.12860_03167","573.12862_03194"
"ypdA","","Sensor histidine kinase YpdA","3","3","1","1","1735","","","","1697","1697","1697","573.12859_04513","573.12860_00343","573.12862_01435"
"rlmE","","Ribosomal RNA large subunit methyltransferase E","3","3","1","2","445","","","","629","629","629","573.12859_01511","573.12860_01722","573.12862_00360"
"rplS","","50S ribosomal protein L19","3","3","1","1","984","","","","347","347","347","573.12859_04435","573.12860_04629","573.12862_03850"
"grxC","","Glutaredoxin 3","3","3","1","3","106","","","","251","251","251","573.12859_00229","573.12860_02807","573.12862_02972"
"manY","","PTS system mannose-specific EIIC component","3","3","1","1","2171","","","","800","800","800","573.12859_02046","573.12860_01986","573.12862_01779"
"rluD","","Ribosomal large subunit pseudouridine synthase D","3","3","1","1","972","","","","980","980","980","573.12859_04423","573.12860_04641","573.12862_03838"
"matP","","Macrodomain Ter protein","3","3","1","1","1299","","","","452","452","452","573.12859_00561","573.12860_00180","573.12862_00888"
"ispH","","4-hydroxy-3-methylbut-2-enyl diphosphate reductase","3","3","1","4","195","","","","950","950","950","573.12859_00787","573.12860_00972","573.12862_00568"
"proQ","","RNA chaperone ProQ","3","3","1","1","2184","","","","677","677","677","573.12859_02033","573.12860_01973","573.12862_01766"
"ghrA_1","","Glyoxylate/hydroxypyruvate reductase A","3","3","1","1","1368","","","","938","938","938","573.12859_04353","573.12860_00116","573.12862_00824"
"accB","","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","3","3","1","2","379","","","","467","467","467","573.12859_01577","573.12860_01656","573.12862_00426"
"group_3057","","hypothetical protein","3","3","1","1","872","","","","554","554","554","573.12859_00358","573.12860_03075","573.12862_03102"
"nuoE","","NADH-quinone oxidoreductase subunit E","3","3","1","1","1797","","","","500","500","500","573.12859_03523","573.12860_00404","573.12862_01495"
"cytR_3","","HTH-type transcriptional repressor CytR","3","3","1","10","32","","","","1028","1028","1028","573.12859_03769","573.12860_03687","573.12862_03590"
"budA","","Alpha-acetolactate decarboxylase","3","3","1","1","2987","","","","779","779","779","573.12859_01594","573.12860_01334","573.12862_01856"
"group_3061","","hypothetical protein","3","3","1","1","912","","","","995","995","995","573.12859_00400","573.12860_03037","573.12862_03064"
"group_3062","","hypothetical protein","3","3","1","1","523","","","","458","458","458","573.12859_01190","573.12860_00799","573.12862_00986"
"mltB","","Membrane-bound lytic murein transglycosylase B","3","3","1","2","10","","","","1079","1079","1079","573.12859_03456","573.12860_04348","573.12862_02738"
"ahpC_2","","Alkyl hydroperoxide reductase C","3","3","1","5","93","","","","563","563","563","573.12859_02248","573.12860_02304","573.12862_01321"
"hsrA_2","","putative transport protein HsrA","3","3","1","9","2","","","","1397","1397","1397","573.12859_03890","573.12860_03528","573.12862_03561"
"prmA","","Ribosomal protein L11 methyltransferase","3","3","1","2","375","","","","881","881","881","573.12859_01581","573.12860_01652","573.12862_00430"
"ecpD","","Fimbria adhesin EcpD","3","3","1","1","487","","","","1643","1643","1643","573.12859_01227","573.12860_00835","573.12862_00950"
"yciB","","putative intracellular septation protein A","3","3","1","1","1557","","","","539","539","539","573.12859_02661","573.12860_02939","573.12862_03318"
"livK","","Leucine-specific-binding protein","3","3","1","3","238","","","","1109","1109","1109","573.12859_00095","573.12860_03418","573.12862_02173"
"group_3070","","hypothetical protein","3","3","1","1","323","","","","929","929","929","573.12859_03142","573.12860_02589","573.12862_02402"
"fdhD","","Sulfur carrier protein FdhD","3","3","1","10","91","","","","836","836","836","573.12859_03726","573.12860_03648","573.12862_03629"
"ccmL","","Carbon dioxide concentrating mechanism protein CcmL","3","3","1","2","185","","","","275","275","275","573.12859_03655","573.12860_02122","573.12862_04051"
"gltC_2","","HTH-type transcriptional regulator GltC","3","3","1","1","1466","","","","890","890","890","573.12859_02743","573.12860_00019","573.12862_00727"
"group_3074","cynR_2","HTH-type transcriptional regulator CynR","3","3","1","1","2116","","","","899","899","899","573.12859_02101","573.12860_02040","573.12862_01834"
"yabI_2","","Inner membrane protein YabI","3","3","1","1","293","","","","500","500","500","573.12859_03113","573.12860_02618","573.12862_02373"
"group_3076","","hypothetical protein","3","3","1","1","960","","","","383","383","383","573.12859_00447","573.12860_02989","573.12862_03016"
"ibpB_2","","Small heat shock protein IbpB","3","3","1","9","61","","","","428","428","428","573.12859_03831","573.12860_03587","573.12862_03502"
"group_3078","","putative protein","3","3","1","3","69","","","","746","746","746","573.12859_00266","573.12860_02771","573.12862_02936"
"group_3079","","hypothetical protein","3","3","1","1","1891","","","","398","398","398","573.12859_04631","573.12860_00498","573.12862_01589"
"walR","","Transcriptional regulatory protein WalR","3","3","1","1","1208","","","","716","716","716","573.12859_00470","573.12860_00271","573.12862_04176"
"groL","","60 kDa chaperonin","3","3","1","6","28","","","","1646","1646","1646","573.12859_02373","573.12860_05075","573.12862_04846"
"group_3082","","hypothetical protein","3","3","1","1","1252","","","","692","692","692","573.12859_00514","573.12860_00227","573.12862_00935"
"dacA","","D-alanyl-D-alanine carboxypeptidase DacA","3","3","1","5","78","","","","1271","1271","1271","573.12859_02263","573.12860_02319","573.12862_01336"
"fabF_1","","3-oxoacyl-[acyl-carrier-protein] synthase 2","3","3","1","1","1405","","","","1241","1241","1241","573.12859_04316","573.12860_00079","573.12862_00787"
"gshB","","Glutathione synthetase","3","3","1","2","702","","","","950","950","950","573.12859_01313","573.12860_01479","573.12862_00094"
"hisJ_2","","Histidine-binding periplasmic protein","3","3","1","1","1773","","","","782","782","782","573.12859_03500","573.12860_00380","573.12862_01472"
"pduA_2","","Propanediol utilization protein PduA","3","3","1","2","174","","","","284","284","284","573.12859_03666","573.12860_02133","573.12862_04062"
"group_3088","","putative protein","3","3","1","1","2192","","","","1010","1010","1010","573.12859_02025","573.12860_01965","573.12862_01758"
"phoE","","Outer membrane porin PhoE","3","3","1","1","473","","","","1052","1052","1052","573.12859_01240","573.12860_00848","573.12862_05036"
"ecpE_1","","putative fimbrial chaperone EcpE","3","3","1","1","488","","","","710","710","710","573.12859_01226","573.12860_00834","573.12862_00951"
"gstB_2","","Glutathione S-transferase GstB","3","3","1","3","192","","","","623","623","623","573.12859_00144","573.12860_03844","573.12862_02219"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase","3","3","1","1","302","","","","935","935","935","573.12859_03121","573.12860_02610","573.12862_02381"
"pstC","","Phosphate transport system permease protein PstC","3","3","1","9","29","","","","959","959","959","573.12859_03863","573.12860_03555","573.12862_03534"
"group_3094","","hypothetical protein","3","3","1","2","180","","","","350","350","350","573.12859_03660","573.12860_02127","573.12862_04056"
"tamA","","Translocation and assembly module subunit TamA","3","3","1","6","111","","","","1733","1733","1733","573.12859_02454","573.12860_03961","573.12862_03996"
"group_3096","","hypothetical protein","3","3","1","1","270","","","","407","407","407","573.12859_03090","573.12860_02641","573.12862_02350"
"clcD","","Carboxymethylenebutenolidase","3","3","1","11","69","","","","812","812","812","573.12859_04085","573.12860_04274","573.12862_04132"
"msbA_1","","Lipid A export ATP-binding/permease protein MsbA","3","3","1","1","1259","","","","1748","1748","1748","573.12859_00521","573.12860_00220","573.12862_00928"
"moaB","","Molybdenum cofactor biosynthesis protein B","3","3","1","1","900","","","","512","512","512","573.12859_00388","573.12860_03049","573.12862_03076"
"astD_2","","N-succinylglutamate 5-semialdehyde dehydrogenase","3","3","1","1","1535","","","","749","1478","1235","573.12859_02683","573.12860_02961","573.12862_03340"
"oxyR_4","","Hydrogen peroxide-inducible genes activator","3","3","1","1","2528","","","","881","881","881","573.12859_01842","573.12860_05186","573.12862_03740"
"lolC","","Lipoprotein-releasing system transmembrane protein LolC","3","3","1","1","1425","","","","1199","1199","1199","573.12859_04296","573.12860_00059","573.12862_00767"
"leuO","","HTH-type transcriptional regulator LeuO","3","3","1","4","136","","","","950","950","950","573.12859_00834","573.12860_00914","573.12862_00510"
"yfcJ_1","","putative MFS-type transporter YfcJ","3","3","1","1","1760","","","","1175","1175","1175","573.12859_03487","573.12860_00367","573.12862_01459"
"argH","","Argininosuccinate lyase","3","3","1","10","12","","","","1373","1373","1373","573.12859_03789","573.12860_03707","573.12862_03570"
"cspA","","Cold shock protein CspA","3","3","1","3","142","","","","212","212","212","573.12859_00195","573.12860_05126","573.12862_04874"
"group_3106","","Gluconate 2-dehydrogenase flavoprotein","3","3","1","1","2963","","","","1784","1784","1784","573.12859_02955","573.12860_01358","573.12862_04442"
"group_3107","","hypothetical protein","3","3","1","1","2530","","","","917","917","917","573.12859_01840","573.12860_05184","573.12862_03742"
"group_3108","","hypothetical protein","3","3","1","7","146","","","","1277","1277","1277","573.12859_03199","573.12860_02516","573.12862_02531"
"nhaR","","Transcriptional activator protein NhaR","3","3","1","4","201","","","","896","896","896","573.12859_00781","573.12860_00978","573.12862_00574"
"frmR_1","","Transcriptional repressor FrmR","3","3","1","1","2658","","","","275","275","275","573.12859_01713","573.12860_01232","573.12862_01958"
"ybjP","","putative lipoprotein YbjP","3","3","1","1","1215","","","","515","515","515","573.12859_00477","573.12860_00264","573.12862_04183"
"pykF","","Pyruvate kinase I","3","3","1","1","2909","","","","1412","1412","1412","573.12859_02896","573.12860_03245","573.12862_02601"
"nadD","","Nicotinate-nucleotide adenylyltransferase","3","3","1","5","71","","","","650","650","650","573.12859_02270","573.12860_02326","573.12862_01343"
"group_3114","","hypothetical protein","3","3","1","5","223","","","","662","662","662","573.12859_04663","573.12860_04795","573.12862_01208"
"glpX","","Fructose-1,6-bisphosphatase 1 class 2","3","3","1","3","59","","","","1010","1010","1010","573.12859_00276","573.12860_02761","573.12862_02926"
"cysW","","Sulfate transport system permease protein CysW","3","3","1","7","42","","","","875","875","875","573.12859_03307","573.12860_02420","573.12862_02436"
"group_3117","","hypothetical protein","3","3","1","1","1971","","","","440","440","440","573.12859_04912","573.12860_04664","573.12862_04416"
"pdxA","","4-hydroxythreonine-4-phosphate dehydrogenase","3","3","1","4","168","","","","989","989","989","573.12859_00802","573.12860_00946","573.12862_00542"
"group_3119","","hypothetical protein","3","3","1","5","9","","","","290","290","290","573.12859_02342","573.12860_02391","573.12862_01411"
"dedA","","Protein DedA","3","3","1","1","1765","","","","659","659","659","573.12859_03492","573.12860_00372","573.12862_01464"
"dtpC","","Dipeptide and tripeptide permease C","3","3","1","5","234","","","","1475","1475","1475","573.12859_04674","573.12860_04806","573.12862_01219"
"yqjG","","Glutathionyl-hydroquinone reductase YqjG","3","3","1","2","499","","","","986","986","986","573.12859_01462","573.12860_01783","573.12862_00299"
"yigZ","","IMPACT family member YigZ","3","3","1","11","3","","","","614","614","614","573.12859_04069","573.12860_04290","573.12862_04148"
"pgrR_8","","HTH-type transcriptional regulator PgrR","3","3","1","1","790","","","","884","884","884","573.12859_02585","573.12860_04446","573.12862_04584"
"group_3125","","hypothetical protein","3","3","1","2","203","","","","323","323","323","573.12859_03637","573.12860_02104","573.12862_04033"
"glpF_2","","Glycerol uptake facilitator protein","3","3","1","3","50","","","","851","851","851","573.12859_00285","573.12860_02752","573.12862_02917"
"potA_1","","Spermidine/putrescine import ATP-binding protein PotA","3","3","1","1","1437","","","","1136","1136","1136","573.12859_05119","573.12860_00048","573.12862_00756"
"yjgH","","RutC family protein YjgH","3","3","1","1","2268","","","","389","389","389","573.12859_01943","573.12860_01884","573.12862_01677"
"gpmA","","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","3","3","1","1","854","","","","752","752","752","573.12859_00340","573.12860_03093","573.12862_03120"
"cpxP","","Periplasmic protein CpxP","3","3","1","10","40","","","","503","503","503","573.12859_03761","573.12860_03679","573.12862_03598"
"ycnE","","Putative monooxygenase YcnE","3","3","1","3","38","","","","290","290","290","573.12859_00298","573.12860_02739","573.12862_02904"
"dgoD","","D-galactonate dehydratase","3","3","1","9","56","","","","1148","1148","1148","573.12859_03836","573.12860_03582","573.12862_03507"
"thyA","","Thymidylate synthase","3","3","1","2","207","","","","794","794","794","573.12859_03633","573.12860_02100","573.12862_04029"
"emrA_1","","Colistin resistance protein EmrA","3","3","1","1","265","","","","1085","1085","1085","573.12859_03085","573.12860_02646","573.12862_02345"
"yacG","","DNA gyrase inhibitor YacG","3","3","1","4","113","","","","194","194","194","573.12859_00857","573.12860_00891","573.12862_00487"
"group_3136","","Deacetylase","3","3","1","6","134","","","","1133","1133","1133","573.12859_02477","573.12860_04577","573.12862_04284"
"atpF","","ATP synthase subunit b","3","3","1","9","20","","","","470","470","470","573.12859_03872","573.12860_03546","573.12862_03543"
"lptB_2","","Lipopolysaccharide export system ATP-binding protein LptB","3","3","1","1","495","","","","782","782","782","573.12859_01219","573.12860_00827","573.12862_00958"
"ribE","","6,7-dimethyl-8-ribityllumazine synthase","3","3","1","1","561","","","","470","470","470","573.12859_01152","573.12860_00761","573.12862_01024"
"pitA","","Low-affinity inorganic phosphate transporter 1","3","3","1","3","201","","","","1496","1496","1496","573.12859_00135","573.12860_03835","573.12862_02210"
"ylaC","","Inner membrane protein YlaC","3","3","1","1","633","","","","470","470","470","573.12859_01080","573.12860_00689","573.12862_01096"
"thrA","","Bifunctional aspartokinase/homoserine dehydrogenase 1","3","3","1","4","216","","","","2462","2462","2462","573.12859_00766","573.12860_00993","573.12862_00589"
"group_3143","","hypothetical protein","3","3","1","11","50","","","","224","224","224","573.12859_04104","573.12860_04255","573.12862_04113"
"thpA_2","","D-threitol-binding protein","3","3","1","5","242","","","","923","923","923","573.12859_04682","573.12860_04814","573.12862_01227"
"group_3145","","hypothetical protein","3","3","1","10","82","","","","941","941","941","573.12859_03717","573.12860_03639","573.12862_03638"
"nudF","","ADP-ribose pyrophosphatase","3","3","1","2","582","","","","632","632","632","573.12859_01378","573.12860_01600","573.12862_00215"
"yciO","","putative protein YciO","3","3","1","1","1577","","","","620","620","620","573.12859_02641","573.12860_02919","573.12862_03298"
"cmoA","","Carboxy-S-adenosyl-L-methionine synthase","3","3","1","1","2222","","","","743","743","743","573.12859_01995","573.12860_01935","573.12862_01728"
"nanR","","HTH-type transcriptional repressor NanR","3","3","1","9","1","","","","701","701","701","573.12859_03891","573.12860_03527","573.12862_03562"
"sohB","","putative protease SohB","3","3","1","1","1584","","","","1082","1082","1082","573.12859_02632","573.12860_02913","573.12862_03292"
"thiH","","2-iminoacetate synthase","3","3","1","15","27","","","","1133","1133","1133","573.12859_04749","573.12860_04917","573.12862_04691"
"group_3152","","hypothetical protein","3","3","1","1","480","","","","872","872","872","573.12859_01234","573.12860_00842","573.12862_00943"
"hslO","","33 kDa chaperonin","3","3","1","3","288","","","","878","878","878","573.12859_00048","573.12860_03369","573.12862_02124"
"cbiT","","Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)","3","3","1","2","166","","","","569","569","569","573.12859_03674","573.12860_02141","573.12862_04070"
"rnc","","Ribonuclease 3","3","3","1","7","19","","","","680","680","680","573.12859_03176","573.12860_02539","573.12862_02554"
"chaB","","Putative cation transport regulator ChaB","3","3","1","1","2813","","","","230","230","230","573.12859_02798","573.12860_04512","573.12862_02699"
"ubiK","","Ubiquinone biosynthesis accessory factor UbiK","3","3","1","2","575","","","","272","272","272","573.12859_01385","573.12860_01607","573.12862_00222"
"macB","","Macrolide export ATP-binding/permease protein MacB","3","3","1","1","1230","","","","1940","1940","1940","573.12859_00492","573.12860_00249","573.12862_04198"
"group_3159","","hypothetical protein","3","3","1","4","200","","","","209","209","209","573.12859_00782","573.12860_00977","573.12862_00573"
"iolE_4","","Inosose dehydratase","3","3","1","6","178","","","","899","899","899","573.12859_02521","573.12860_05228","573.12862_04975"
"mtfA","","Protein MtfA","3","3","1","1","2267","","","","797","797","797","573.12859_01945","573.12860_01886","573.12862_01679"
"cfxP","","Phosphoribulokinase, plasmid","3","3","1","3","319","","","","869","869","869","573.12859_00017","573.12860_03338","573.12862_02093"
"ilvM","","Acetolactate synthase isozyme 2 small subunit","3","3","1","11","14","","","","257","257","257","573.12859_04143","573.12860_05247","573.12862_04993"
"group_3164","","hypothetical protein","3","3","1","4","249","","","","1046","1046","1046","573.12859_00730","573.12860_01029","573.12862_00625"
"ytfT","","Inner membrane ABC transporter permease protein YtfT","3","3","1","6","120","","","","1025","1025","1025","573.12859_02463","573.12860_03952","573.12862_04005"
"dhaT","","1,3-propanediol dehydrogenase","3","3","1","2","539","","","","1163","1163","1163","573.12859_01422","573.12860_01823","573.12862_00259"
"lptA","","Lipopolysaccharide export system protein LptA","3","3","1","2","424","","","","545","545","545","573.12859_01532","573.12860_01701","573.12862_00381"
"radA","","DNA repair protein RadA","3","3","1","4","230","","","","1382","1382","1382","573.12859_00752","573.12860_01007","573.12862_00603"
"spy","","Periplasmic chaperone Spy","3","3","1","1","1538","","","","482","482","482","573.12859_02680","573.12860_02958","573.12862_03337"
"fabI","","Enoyl-[acyl-carrier-protein] reductase [NADH] FabI","3","3","1","1","1601","","","","788","788","788","573.12859_02615","573.12860_02896","573.12862_03275"
"mdtH_1","","Multidrug resistance protein MdtH","3","3","1","1","1388","","","","1208","1208","1208","573.12859_04333","573.12860_00096","573.12862_00804"
"metL","","Bifunctional aspartokinase/homoserine dehydrogenase 2","3","3","1","10","27","","","","2432","2432","2432","573.12859_03774","573.12860_03692","573.12862_03585"
"metAS","","Homoserine O-succinyltransferase","3","3","1","8","53","","","","929","929","929","573.12859_04942","573.12860_03216","573.12862_03243"
"pta","","Phosphate acetyltransferase","3","3","1","1","1784","","","","2147","2147","2147","573.12859_03511","573.12860_00391","573.12862_01483"
"glnS","","Glutamine--tRNA ligase","3","3","1","5","48","","","","1667","1667","1667","573.12859_02302","573.12860_02352","573.12862_01372"
"loiP","","Metalloprotease LoiP","3","3","1","2","326","","","","758","758","758","573.12859_01305","573.12860_01455","573.12862_00070"
"yqjH","","NADPH-dependent ferric-chelate reductase","3","3","1","2","530","","","","776","776","776","573.12859_01431","573.12860_01814","573.12862_00268"
"lacC_1","","Tagatose-6-phosphate kinase","3","3","1","1","1874","","","","938","938","938","573.12859_04648","573.12860_00481","573.12862_01572"
"glnA","","Glutamine synthetase","3","3","1","10","77","","","","1409","1409","1409","573.12859_03712","573.12860_03634","573.12862_03643"
"group_3180","","hypothetical protein","3","3","1","5","102","","","","980","980","980","573.12859_02239","573.12860_02295","573.12862_01312"
"serC","","Phosphoserine aminotransferase","3","3","1","1","1253","","","","1088","1088","1088","573.12859_00515","573.12860_00226","573.12862_00934"
"mmuM","","Homocysteine S-methyltransferase","3","3","1","1","503","","","","932","932","932","573.12859_01211","573.12860_00819","573.12862_00966"
"ycgZ","","putative two-component-system connector protein YcgZ","3","3","1","1","869","","","","245","245","245","573.12859_00355","573.12860_03078","573.12862_03105"
"group_3184","","hypothetical protein","3","3","1","1","539","","","","152","152","152","573.12859_01174","573.12860_00783","573.12862_01002"
"group_3185","","hypothetical protein","3","3","1","2","476","","","","386","386","386","573.12859_01478","573.12860_01755","573.12862_00327"
"group_3186","","hypothetical protein","3","3","1","4","241","","","","161","161","161","573.12859_00741","573.12860_01018","573.12862_00614"
"livH_3","","High-affinity branched-chain amino acid transport system permease protein LivH","3","3","1","3","239","","","","926","926","926","573.12859_00094","573.12860_03417","573.12862_02172"
"symE_2","","Endoribonuclease SymE","3","3","1","2","27","","","","308","308","308","573.12859_03439","573.12860_04331","573.12862_02755"
"ynjF","","Inner membrane protein YnjF","3","3","1","1","1523","","","","623","623","623","573.12859_02694","573.12860_02972","573.12862_03352"
"group_3190","","hypothetical protein","3","3","1","3","137","","","","302","302","302","573.12859_00200","573.12860_02838","573.12862_03003"
"apaG","","Protein ApaG","3","3","1","4","170","","","","377","377","377","573.12859_00800","573.12860_00948","573.12862_00544"
"rbsB_1","","Ribose import binding protein RbsB","3","3","1","5","281","","","","935","935","935","573.12859_02193","573.12860_02249","573.12862_01266"
"ypdB","","Transcriptional regulatory protein YpdB","3","3","1","1","1734","","","","737","737","737","573.12859_04512","573.12860_00342","573.12862_01434"
"mngA","","PTS system 2-O-alpha-mannosyl-D-glycerate-specific EIIABC component","3","3","1","1","2429","","","","455","455","455","573.12859_03995","573.12860_04108","573.12862_03466"
"group_3195","","Magnesium transporter MgtE","3","3","1","1","1842","","","","1436","1436","1436","573.12859_03567","573.12860_00449","573.12862_01540"
"group_3196","","hypothetical protein","3","3","1","2","212","","","","713","713","713","573.12859_03628","573.12860_02095","573.12862_04024"
"pcaH","","Protocatechuate 3,4-dioxygenase beta chain","3","3","1","1","2653","","","","740","740","740","573.12859_01718","573.12860_01227","573.12862_01963"
"glpR_4","","Glycerol-3-phosphate regulon repressor","3","3","1","24","4","","","","761","761","761","573.12859_05236","573.12860_05453","573.12862_05110"
"lacI_1","","Lactose operon repressor","3","3","1","1","628","","","","1070","1070","1070","573.12859_01085","573.12860_00694","573.12862_01091"
"yhbU","","putative protease YhbU","3","3","1","2","466","","","","995","995","995","573.12859_01488","573.12860_01745","573.12862_00337"
"gapA","","Glyceraldehyde-3-phosphate dehydrogenase A","3","3","1","1","1499","","","","995","995","995","573.12859_02710","573.12860_04946","573.12862_04720"
"eutN","","Ethanolamine utilization protein EutN","3","3","1","7","62","","","","287","287","287","573.12859_03288","573.12860_02440","573.12862_02455"
"cycB","","Cyclodextrin-binding protein","3","3","1","1","621","","","","1232","1232","1232","573.12859_01092","573.12860_00701","573.12862_01084"
"osmE","","Osmotically-inducible putative lipoprotein OsmE","3","3","1","1","1541","","","","338","338","338","573.12859_02677","573.12860_02955","573.12862_03334"
"ulaB_1","","Ascorbate-specific PTS system EIIB component","3","3","1","6","84","","","","305","305","305","573.12859_02426","573.12860_03986","573.12862_03971"
"group_3206","","hypothetical protein","3","3","1","8","1","","","","371","371","371","573.12859_03981","573.12860_03101","573.12862_03128"
"group_3207","","hypothetical protein","3","3","1","3","93","","","","1079","1079","1079","573.12859_00242","573.12860_02794","573.12862_02959"
"rbsC_2","","Ribose import permease protein RbsC","3","3","1","5","244","","","","1031","1031","1031","573.12859_04684","573.12860_04816","573.12862_01229"
"gntT","","High-affinity gluconate transporter","3","3","1","3","275","","","","1316","1316","1316","573.12859_00061","573.12860_03382","573.12862_02137"
"pmrD","","Signal transduction protein PmrD","3","3","1","1","2324","","","","245","245","245","573.12859_01931","573.12860_03927","573.12862_01665"
"ribF","","Bifunctional riboflavin kinase/FMN adenylyltransferase","3","3","1","4","199","","","","938","938","938","573.12859_00783","573.12860_00976","573.12862_00572"
"group_3212","","hypothetical protein","3","3","1","4","37","","","","386","386","386","573.12859_00931","573.12860_03765","573.12862_03799"
"pcaR_4","","Pca regulon regulatory protein","3","3","1","1","212","","","","806","806","806","573.12859_03034","573.12860_02698","573.12862_02293"
"group_3214","","hypothetical protein","3","3","1","2","397","","","","263","263","263","573.12859_01559","573.12860_01674","573.12862_00408"
"bamD","","Outer membrane protein assembly factor BamD","3","3","1","1","973","","","","737","737","737","573.12859_04424","573.12860_04640","573.12862_03839"
"rob_1","","Right origin-binding protein","3","3","1","4","223","","","","869","869","869","573.12859_00759","573.12860_01000","573.12862_00596"
"ybhN","","Inner membrane protein YbhN","3","3","1","1","905","","","","965","965","965","573.12859_00393","573.12860_03044","573.12862_03071"
"group_3218","","hypothetical protein","3","3","1","1","493","","","","170","170","170","573.12859_01221","573.12860_00829","573.12862_00956"
"group_3219","","hypothetical protein","3","3","1","4","12","","","","200","200","200","573.12859_00956","573.12860_03790","573.12862_03824"
"group_3220","","hypothetical protein","3","3","1","10","94","","","","314","314","314","573.12859_03729","573.12860_03651","573.12862_03626"
"group_3221","","hypothetical protein","3","3","1","1","2959","","","","1769","1769","1769","573.12859_02949","573.12860_01362","573.12862_04446"
"group_3222","","hypothetical protein","3","3","1","9","39","","","","728","728","728","573.12859_03853","573.12860_03565","573.12862_03524"
"hxpB_1","","Hexitol phosphatase B","3","3","1","1","1553","","","","668","668","668","573.12859_02665","573.12860_02943","573.12862_03322"
"yhfG","","putative protein YhfG","3","3","1","3","312","","","","167","167","167","573.12859_00024","573.12860_03345","573.12862_02100"
"ppiC_2","","Peptidyl-prolyl cis-trans isomerase C","3","3","1","11","20","","","","281","281","281","573.12859_04137","573.12860_05241","573.12862_04987"
"birA","","Bifunctional ligase/repressor BirA","3","3","1","26","2","","","","962","962","962","573.12859_05214","573.12860_05429","573.12862_05098"
"ssuE","","FMN reductase (NADPH)","3","3","1","1","1288","","","","575","575","575","573.12859_00550","573.12860_00191","573.12862_00899"
"chbA_1","","PTS system N,N'-diacetylchitobiose-specific EIIA component","3","3","1","3","4","","","","302","302","302","573.12859_00332","573.12860_02705","573.12862_02870"
"mepS_1","","Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase","3","3","1","1","1864","","","","569","569","569","573.12859_03590","573.12860_00472","573.12862_01563"
"rseB","","Sigma-E factor regulatory protein RseB","3","3","1","7","15","","","","956","956","956","573.12859_03172","573.12860_02543","573.12862_02558"
